t,Period,Unemployment
165,1984 OCT,11.7
166,1984 NOV,11.6
167,1984 DEC,11.6
168,1985 JAN,11.5
169,1985 FEB,11.5
170,1985 MAR,11.4
171,1985 APR,11.4
172,1985 MAY,11.4
173,1985 JUN,11.3
174,1985 JUL,11.3
175,1985 AUG,11.3
176,1985 SEP,11.3
177,1985 OCT,11.3
178,1985 NOV,11.3
179,1985 DEC,11.3
180,1986 JAN,11.3
181,1986 FEB,11.3
182,1986 MAR,11.3
183,1986 APR,11.3
184,1986 MAY,11.3
185,1986 JUN,11.4
186,1986 JUL,11.4
187,1986 AUG,11.4
188,1986 SEP,11.3
189,1986 OCT,11.3
190,1986 NOV,11.3
191,1986 DEC,11.2
192,1987 JAN,11.2
193,1987 FEB,11.1
194,1987 MAR,11
195,1987 APR,10.9
196,1987 MAY,10.7
197,1987 JUN,10.6
198,1987 JUL,10.4
199,1987 AUG,10.2
200,1987 SEP,10
201,1987 OCT,9.9
202,1987 NOV,9.7
203,1987 DEC,9.5
204,1988 JAN,9.4
205,1988 FEB,9.2
206,1988 MAR,9
207,1988 APR,8.9
208,1988 MAY,8.7
209,1988 JUN,8.6
210,1988 JUL,8.5
211,1988 AUG,8.4
212,1988 SEP,8.3
213,1988 OCT,8.2
214,1988 NOV,8
215,1988 DEC,7.9
216,1989 JAN,7.7
217,1989 FEB,7.6
218,1989 MAR,7.4
219,1989 APR,7.3
220,1989 MAY,7.2
221,1989 JUN,7.2
222,1989 JUL,7.1
223,1989 AUG,7.1
224,1989 SEP,7.1
225,1989 OCT,7
226,1989 NOV,7
227,1989 DEC,7
228,1990 JAN,6.9
229,1990 FEB,6.9
230,1990 MAR,6.9
231,1990 APR,6.9
232,1990 MAY,6.9
233,1990 JUN,6.9
234,1990 JUL,7
235,1990 AUG,7.1
236,1990 SEP,7.2
237,1990 OCT,7.3
238,1990 NOV,7.5
239,1990 DEC,7.6
240,1991 JAN,7.8
241,1991 FEB,8
242,1991 MAR,8.2
243,1991 APR,8.5
244,1991 MAY,8.7
245,1991 JUN,8.8
246,1991 JUL,9
247,1991 AUG,9.2
248,1991 SEP,9.3
249,1991 OCT,9.4
250,1991 NOV,9.5
251,1991 DEC,9.5
252,1992 JAN,9.6
253,1992 FEB,9.7
254,1992 MAR,9.8
255,1992 APR,9.8
256,1992 MAY,9.8
257,1992 JUN,9.9
258,1992 JUL,9.9
259,1992 AUG,9.9
260,1992 SEP,10.1
261,1992 OCT,10.2
262,1992 NOV,10.4
263,1992 DEC,10.5
264,1993 JAN,10.7
265,1993 FEB,10.6
266,1993 MAR,10.6
267,1993 APR,10.5
268,1993 MAY,10.4
269,1993 JUN,10.4
270,1993 JUL,10.3
271,1993 AUG,10.2
272,1993 SEP,10.3
273,1993 OCT,10.2
274,1993 NOV,10.3
275,1993 DEC,10.3
276,1994 JAN,10.1
277,1994 FEB,9.9
278,1994 MAR,9.8
279,1994 APR,9.7
280,1994 MAY,9.7
281,1994 JUN,9.6
282,1994 JUL,9.5
283,1994 AUG,9.4
284,1994 SEP,9.3
285,1994 OCT,9.1
286,1994 NOV,9
287,1994 DEC,8.9
288,1995 JAN,8.9
289,1995 FEB,8.9
290,1995 MAR,8.8
291,1995 APR,8.8
292,1995 MAY,8.7
293,1995 JUN,8.7
294,1995 JUL,8.6
295,1995 AUG,8.6
296,1995 SEP,8.6
297,1995 OCT,8.6
298,1995 NOV,8.3
299,1995 DEC,8.4
300,1996 JAN,8.3
301,1996 FEB,8.2
302,1996 MAR,8.3
303,1996 APR,8.3
304,1996 MAY,8.3
305,1996 JUN,8.2
306,1996 JUL,8.1
307,1996 AUG,8.1
308,1996 SEP,8.1
309,1996 OCT,8
310,1996 NOV,7.8
311,1996 DEC,7.7
312,1997 JAN,7.5
313,1997 FEB,7.3
314,1997 MAR,7.2
315,1997 APR,7.2
316,1997 MAY,7.2
317,1997 JUN,7.3
318,1997 JUL,7.1
319,1997 AUG,6.8
320,1997 SEP,6.7
321,1997 OCT,6.6
322,1997 NOV,6.5
323,1997 DEC,6.4
324,1998 JAN,6.4
325,1998 FEB,6.4
326,1998 MAR,6.3
327,1998 APR,6.3
328,1998 MAY,6.3
329,1998 JUN,6.3
330,1998 JUL,6.3
331,1998 AUG,6.2
332,1998 SEP,6.2
333,1998 OCT,6.2
334,1998 NOV,6.1
335,1998 DEC,6.2
336,1999 JAN,6.2
337,1999 FEB,6.2
338,1999 MAR,6.2
339,1999 APR,6.1
340,1999 MAY,6
341,1999 JUN,6
342,1999 JUL,5.9
343,1999 AUG,5.9
344,1999 SEP,5.8
345,1999 OCT,5.8
346,1999 NOV,5.8
347,1999 DEC,5.9
348,2000 JAN,5.8
349,2000 FEB,5.8
350,2000 MAR,5.7
351,2000 APR,5.6
352,2000 MAY,5.5
353,2000 JUN,5.3
354,2000 JUL,5.3
355,2000 AUG,5.3
356,2000 SEP,5.4
357,2000 OCT,5.3
358,2000 NOV,5.2
359,2000 DEC,5.2
360,2001 JAN,5.2
361,2001 FEB,5.1
362,2001 MAR,5
363,2001 APR,4.9
364,2001 MAY,5
365,2001 JUN,5
366,2001 JUL,5.1
367,2001 AUG,5.1
368,2001 SEP,5.1
369,2001 OCT,5.1
370,2001 NOV,5.2
371,2001 DEC,5.2
372,2002 JAN,5.1
373,2002 FEB,5.2
374,2002 MAR,5.2
375,2002 APR,5.2
376,2002 MAY,5.2
377,2002 JUN,5.2
378,2002 JUL,5.2
379,2002 AUG,5.3
380,2002 SEP,5.2
381,2002 OCT,5.2
382,2002 NOV,5.1
383,2002 DEC,5
384,2003 JAN,5.1
385,2003 FEB,5.2
386,2003 MAR,5.1
387,2003 APR,5
388,2003 MAY,4.9
389,2003 JUN,5.1
390,2003 JUL,5.1
391,2003 AUG,5
392,2003 SEP,5
393,2003 OCT,4.9
394,2003 NOV,4.9
395,2003 DEC,4.8
396,2004 JAN,4.8
397,2004 FEB,4.8
398,2004 MAR,4.8
399,2004 APR,4.8
400,2004 MAY,4.8
401,2004 JUN,4.8
402,2004 JUL,4.7
403,2004 AUG,4.7
404,2004 SEP,4.7
405,2004 OCT,4.7
406,2004 NOV,4.7
407,2004 DEC,4.7
408,2005 JAN,4.8
409,2005 FEB,4.7
410,2005 MAR,4.7
411,2005 APR,4.8
412,2005 MAY,4.8
413,2005 JUN,4.7
414,2005 JUL,4.7
415,2005 AUG,4.7
416,2005 SEP,4.9
417,2005 OCT,5.1
418,2005 NOV,5.1
419,2005 DEC,5.1
420,2006 JAN,5.2
421,2006 FEB,5.2
422,2006 MAR,5.3
423,2006 APR,5.4
424,2006 MAY,5.5
425,2006 JUN,5.5
426,2006 JUL,5.5
427,2006 AUG,5.5
428,2006 SEP,5.5
429,2006 OCT,5.4
430,2006 NOV,5.5
431,2006 DEC,5.5
432,2007 JAN,5.5
433,2007 FEB,5.5
434,2007 MAR,5.5
435,2007 APR,5.4
436,2007 MAY,5.4
437,2007 JUN,5.3
438,2007 JUL,5.3
439,2007 AUG,5.3
440,2007 SEP,5.2
441,2007 OCT,5.2
442,2007 NOV,5.2
443,2007 DEC,5.2
444,2008 JAN,5.2
445,2008 FEB,5.2
446,2008 MAR,5.3
447,2008 APR,5.2
448,2008 MAY,5.4
449,2008 JUN,5.5
450,2008 JUL,5.7
451,2008 AUG,5.9
452,2008 SEP,6
453,2008 OCT,6.2
454,2008 NOV,6.4
455,2008 DEC,6.5
456,2009 JAN,6.7
457,2009 FEB,7.1
458,2009 MAR,7.3
459,2009 APR,7.6
460,2009 MAY,7.8
461,2009 JUN,7.9
462,2009 JUL,7.9
463,2009 AUG,7.8
464,2009 SEP,7.9
465,2009 OCT,7.8
466,2009 NOV,7.8
467,2009 DEC,7.7
468,2010 JAN,7.9
469,2010 FEB,8
470,2010 MAR,8
471,2010 APR,7.9
472,2010 MAY,7.9
473,2010 JUN,7.8
474,2010 JUL,7.8
475,2010 AUG,7.8
476,2010 SEP,7.9
477,2010 OCT,7.9
478,2010 NOV,7.9
479,2010 DEC,7.9
480,2011 JAN,7.8
481,2011 FEB,7.8
482,2011 MAR,7.7
483,2011 APR,7.8
484,2011 MAY,7.9
485,2011 JUN,8
486,2011 JUL,8.2
487,2011 AUG,8.3
488,2011 SEP,8.4
489,2011 OCT,8.5
490,2011 NOV,8.4
491,2011 DEC,8.4
492,2012 JAN,8.3
493,2012 FEB,8.2
494,2012 MAR,8.2
495,2012 APR,8.1
496,2012 MAY,8
497,2012 JUN,8
498,2012 JUL,7.9
499,2012 AUG,7.9
500,2012 SEP,7.9
501,2012 OCT,7.8
502,2012 NOV,7.8
503,2012 DEC,7.8
504,2013 JAN,8
505,2013 FEB,7.8
506,2013 MAR,7.8
507,2013 APR,7.8
508,2013 MAY,7.7
509,2013 JUN,7.7
510,2013 JUL,7.7
511,2013 AUG,7.6
512,2013 SEP,7.4
513,2013 OCT,7.2
514,2013 NOV,7.2
515,2013 DEC,7.2
516,2014 JAN,6.9
517,2014 FEB,6.8
518,2014 MAR,6.6
519,2014 APR,6.4
520,2014 MAY,6.3
521,2014 JUN,6.1
522,2014 JUL,6
523,2014 AUG,6
524,2014 SEP,6
525,2014 OCT,5.9
526,2014 NOV,5.7
527,2014 DEC,5.7
528,2015 JAN,5.6
529,2015 FEB,5.5
530,2015 MAR,5.5
531,2015 APR,5.6
532,2015 MAY,5.6
533,2015 JUN,5.5
534,2015 JUL,5.4
535,2015 AUG,5.3
536,2015 SEP,5.2
537,2015 OCT,5.1
538,2015 NOV,5.1
539,2015 DEC,5.1
540,2016 JAN,5.1
541,2016 FEB,5.1
542,2016 MAR,5
543,2016 APR,4.9
544,2016 MAY,4.9
545,2016 JUN,4.9
546,2016 JUL,5
547,2016 AUG,4.8
548,2016 SEP,4.8
549,2016 OCT,4.8
550,2016 NOV,4.7
551,2016 DEC,4.7
552,2017 JAN,4.6
553,2017 FEB,4.6
554,2017 MAR,4.5
555,2017 APR,4.4
556,2017 MAY,4.4
557,2017 JUN,4.3
558,2017 JUL,4.3
559,2017 AUG,4.3
560,2017 SEP,4.2
561,2017 OCT,4.3
562,2017 NOV,4.4
563,2017 DEC,4.3
564,2018 JAN,4.2
565,2018 FEB,4.2
566,2018 MAR,4.2
567,2018 APR,4.2
568,2018 MAY,4
569,2018 JUN,4
570,2018 JUL,4
571,2018 AUG,4.1
572,2018 SEP,4.1
573,2018 OCT,4
574,2018 NOV,4
575,2018 DEC,3.9
576,2019 JAN,3.9
577,2019 FEB,3.8
578,2019 MAR,3.8
579,2019 APR,3.8
580,2019 MAY,3.9
581,2019 JUN,3.8
582,2019 JUL,3.9
583,2019 AUG,3.8
584,2019 SEP,3.8
585,2019 OCT,3.8
586,2019 NOV,3.8
587,2019 DEC,3.9
