t,Period,Unemployment
1,1971 FEB,3.8
2,1971 MAR,3.9
3,1971 APR,4
4,1971 MAY,4.1
5,1971 JUN,4.1
6,1971 JUL,4.2
7,1971 AUG,4.2
8,1971 SEP,4.3
9,1971 OCT,4.4
10,1971 NOV,4.4
11,1971 DEC,4.5
12,1972 JAN,4.5
13,1972 FEB,4.5
14,1972 MAR,4.5
15,1972 APR,4.5
16,1972 MAY,4.4
17,1972 JUN,4.4
18,1972 JUL,4.3
19,1972 AUG,4.3
20,1972 SEP,4.2
21,1972 OCT,4.2
22,1972 NOV,4.2
23,1972 DEC,4.1
24,1973 JAN,4
25,1973 FEB,3.9
26,1973 MAR,3.8
27,1973 APR,3.8
28,1973 MAY,3.7
29,1973 JUN,3.7
30,1973 JUL,3.6
31,1973 AUG,3.6
32,1973 SEP,3.5
33,1973 OCT,3.5
34,1973 NOV,3.4
35,1973 DEC,3.4
36,1974 JAN,3.5
37,1974 FEB,3.6
38,1974 MAR,3.6
39,1974 APR,3.6
40,1974 MAY,3.6
41,1974 JUN,3.6
42,1974 JUL,3.7
43,1974 AUG,3.7
44,1974 SEP,3.7
45,1974 OCT,3.7
46,1974 NOV,3.7
47,1974 DEC,3.8
48,1975 JAN,3.9
49,1975 FEB,4
50,1975 MAR,4.1
51,1975 APR,4.2
52,1975 MAY,4.3
53,1975 JUN,4.5
54,1975 JUL,4.6
55,1975 AUG,4.7
56,1975 SEP,4.8
57,1975 OCT,4.9
58,1975 NOV,5
59,1975 DEC,5.1
60,1976 JAN,5.2
61,1976 FEB,5.3
62,1976 MAR,5.3
63,1976 APR,5.4
64,1976 MAY,5.4
65,1976 JUN,5.4
66,1976 JUL,5.4
67,1976 AUG,5.5
68,1976 SEP,5.5
69,1976 OCT,5.5
70,1976 NOV,5.5
71,1976 DEC,5.5
72,1977 JAN,5.5
73,1977 FEB,5.5
74,1977 MAR,5.5
75,1977 APR,5.5
76,1977 MAY,5.5
77,1977 JUN,5.6
78,1977 JUL,5.6
79,1977 AUG,5.7
80,1977 SEP,5.7
81,1977 OCT,5.7
82,1977 NOV,5.7
83,1977 DEC,5.7
84,1978 JAN,5.6
85,1978 FEB,5.6
86,1978 MAR,5.6
87,1978 APR,5.6
88,1978 MAY,5.6
89,1978 JUN,5.5
90,1978 JUL,5.5
91,1978 AUG,5.5
92,1978 SEP,5.5
93,1978 OCT,5.4
94,1978 NOV,5.4
95,1978 DEC,5.3
96,1979 JAN,5.3
97,1979 FEB,5.4
98,1979 MAR,5.3
99,1979 APR,5.3
100,1979 MAY,5.3
101,1979 JUN,5.3
102,1979 JUL,5.3
103,1979 AUG,5.4
104,1979 SEP,5.4
105,1979 OCT,5.4
106,1979 NOV,5.5
107,1979 DEC,5.6
108,1980 JAN,5.7
109,1980 FEB,5.8
110,1980 MAR,6
111,1980 APR,6.1
112,1980 MAY,6.3
113,1980 JUN,6.5
114,1980 JUL,6.8
115,1980 AUG,7.1
116,1980 SEP,7.4
117,1980 OCT,7.7
118,1980 NOV,8
119,1980 DEC,8.3
120,1981 JAN,8.6
121,1981 FEB,8.9
122,1981 MAR,9.1
123,1981 APR,9.4
124,1981 MAY,9.6
125,1981 JUN,9.7
126,1981 JUL,9.8
127,1981 AUG,9.9
128,1981 SEP,10
129,1981 OCT,10.1
130,1981 NOV,10.2
131,1981 DEC,10.3
132,1982 JAN,10.4
133,1982 FEB,10.4
134,1982 MAR,10.5
135,1982 APR,10.5
136,1982 MAY,10.6
137,1982 JUN,10.6
138,1982 JUL,10.7
139,1982 AUG,10.8
140,1982 SEP,10.9
141,1982 OCT,11
142,1982 NOV,11.1
143,1982 DEC,11.2
144,1983 JAN,11.2
145,1983 FEB,11.3
146,1983 MAR,11.3
147,1983 APR,11.3
148,1983 MAY,11.4
149,1983 JUN,11.5
150,1983 JUL,11.5
151,1983 AUG,11.5
152,1983 SEP,11.6
153,1983 OCT,11.6
154,1983 NOV,11.7
155,1983 DEC,11.7
156,1984 JAN,11.8
157,1984 FEB,11.8
158,1984 MAR,11.9
159,1984 APR,11.9
160,1984 MAY,11.9
161,1984 JUN,11.8
162,1984 JUL,11.8
163,1984 AUG,11.7
164,1984 SEP,11.7
